username,tweet,retweet_count,like_count,location,device,verified_status,acc_creation_date,no_profile_pic,no_bio,tweets_count,followings_count,followers_count,user_location
aristiaelvina,"Indonesia sibuk dengan berbagai permasalahan yg selalu ada aja yg baru, luar negeri udah ngeluncurin roket SpaceX dengan 4 astronot xixixi",0,0,,Twitter for Android,False,2019-08-01 12:40:46,False,True,3571,109,126,
WartaEkonomi,"Peluncuran SpaceX, Apa Kegiatan Astronautnya di Stasiun Antariksa? https://t.co/A0NMEPClW2",0,0,,Warta Ekonomi,False,2009-04-12 07:01:14,False,False,383674,2298,22589,"Jakarta, Indonesia"
SinarOnline,"Tiga rakyat AS dan seorang warga Jepun berlepas ke Stesen Angkasa Lepas Antarabangsa dengan menaiki kapal angkasa SpaceX Crew Dragon Resilience dari Pusat Angkasa Lepas Kennedy di Florida semalam #sinarharian

https://t.co/JQDfziLeCI",0,1,,Twitter Web App,False,2011-07-08 02:51:57,False,False,539514,560,636832,Malaysia
tw0savage,Aku ingat diorang meniarap kat katil urut https://t.co/udzMzqK6Oz,0,0,,Twitter for Android,False,2020-09-20 00:38:56,False,True,2368,688,140,
Amsyarnaif,Bestnya keluar bumi. Takde covid hmm https://t.co/ICMZATsAOJ,1,5,,Twitter for iPhone,False,2016-02-03 04:56:21,False,True,63199,323,11235,Malaysia
Aisa_jaafa,pagi tadi dalam kelas pon layan live spacex launching.. syiok,0,0,,Twitter for Android,False,2011-09-26 09:51:21,False,False,16652,157,241,
RioAaGoGo,"melok po o, ndk kene rusuh nemen https://t.co/e2SYNMQ3WG",0,0,,Twitter for iPhone,False,2011-08-03 01:06:16,False,False,12284,399,215,Malang-East Java-Indonesia
AdukaTaruna1453,Macam baju dalam Interstellar. Damn cool https://t.co/0efKZWyWVv,0,0,,Twitter for Android,False,2017-03-09 08:48:07,False,True,9922,124,170,
yaksat__,Hati hati bro https://t.co/yCI1mVYOH9,0,0,,Twitter for Android,False,2019-08-05 02:36:02,False,True,4987,420,151,"Bali, Indonesia"
detikcom,Empat astronot telah diluncurkan dari Florida ke Stasiun Luar Angkasa Internasional (ISS). Apa yang akan mereka lakukan di stasiun luar angkasa? https://t.co/iqKbGgD0Qa,0,12,,Echobox,True,2009-08-27 03:03:05,False,False,1720276,30,16325840,"Jakarta, Indonesia"
